id,number,ЭЧТК,УКВ,Кол-во мест,Автосцепка,Переход,Постройка,Тип
1,95822412,да,нет,40,СА-3,Х,2003,одноэтажный
2,83197857,да,да,36,СА-3,Х,2016,одноэтажный
3,85329037,да,нет,64,БСУ,Х,2018,одноэтажный
4,10872248,нет,да,54,БСУ,Х,2006,одноэтажный
5,55176955,да,да,44,БСУ,Б,2025,двухэтажный
6,71662963,да,нет,54,СА-3,Б,2020,одноэтажный
7,58537831,да,нет,36,СА-3,Б,2002,одноэтажный
8,23556182,да,да,80,БСУ,Х,2011,двухэтажный
9,45833156,нет,нет,36,СА-3,Б,2007,двухэтажный
10,60929647,да,нет,72,СА-3,Б,2024,одноэтажный
11,40742311,нет,нет,54,БСУ,Х,2018,одноэтажный
12,52235350,да,да,72,БСУ,Х,2004,двухэтажный
13,85345555,да,нет,54,БСУ,Б,2004,одноэтажный
14,22201654,нет,нет,40,СА-3,Б,2013,одноэтажный
15,61642594,да,нет,64,БСУ,Б,2000,одноэтажный
16,25374874,нет,да,44,БСУ,Х,2013,двухэтажный
17,10435578,нет,нет,44,СА-3,Б,2003,одноэтажный
18,50056581,нет,да,40,СА-3,Б,2005,одноэтажный
19,81182864,нет,да,54,СА-3,Х,2011,одноэтажный
20,51273847,да,да,64,СА-3,Х,2015,одноэтажный
21,81498611,нет,да,54,СА-3,Х,2019,одноэтажный
22,38427073,нет,нет,72,СА-3,Б,2012,одноэтажный
23,97225156,да,нет,54,СА-3,Х,2002,одноэтажный
24,88961459,да,да,36,СА-3,Б,2001,двухэтажный
25,14216175,нет,да,40,БСУ,Б,2006,одноэтажный
26,86644106,да,да,54,БСУ,Х,2003,одноэтажный
27,57553014,да,да,72,СА-3,Б,2020,двухэтажный
28,64038913,нет,нет,36,СА-3,Х,2017,одноэтажный
29,66623995,да,да,80,СА-3,Б,2017,двухэтажный
30,97529405,нет,нет,36,СА-3,Х,2015,одноэтажный
31,63826716,нет,да,36,БСУ,Х,2025,одноэтажный
32,48285503,да,нет,80,БСУ,Х,2009,двухэтажный
33,17849494,да,да,72,БСУ,Х,2018,одноэтажный
34,81286543,да,нет,36,СА-3,Х,2002,одноэтажный
35,41568532,да,нет,64,СА-3,Б,2001,одноэтажный
36,66267415,нет,да,44,БСУ,Х,2022,одноэтажный
37,45650176,да,нет,44,БСУ,Б,2024,одноэтажный
38,11250299,да,нет,36,СА-3,Б,2016,одноэтажный
39,56843172,нет,нет,44,БСУ,Х,2017,одноэтажный
40,92097999,нет,нет,64,СА-3,Б,2017,одноэтажный
41,99038526,да,нет,44,СА-3,Б,2023,одноэтажный
42,46553958,да,да,44,СА-3,Б,2008,одноэтажный
43,43704923,нет,нет,36,БСУ,Б,2001,двухэтажный
44,27558317,да,да,72,БСУ,Б,2013,одноэтажный
45,25015458,да,нет,40,СА-3,Б,2018,одноэтажный
46,67684996,да,да,80,СА-3,Б,2006,одноэтажный
47,99514287,да,нет,80,БСУ,Б,2023,двухэтажный
48,41774346,нет,нет,80,СА-3,Б,2000,двухэтажный
49,54585178,нет,да,72,СА-3,Х,2025,одноэтажный
50,61343880,нет,нет,40,СА-3,Б,2014,одноэтажный
51,40547349,да,нет,54,БСУ,Х,2002,одноэтажный
52,47463522,да,да,72,БСУ,Б,2003,одноэтажный
53,45059710,да,нет,44,СА-3,Х,2013,одноэтажный
54,52101056,да,нет,36,БСУ,Б,2006,одноэтажный
55,68526649,да,нет,64,СА-3,Б,2002,одноэтажный
56,54318698,да,нет,36,БСУ,Б,2021,одноэтажный
57,64009265,нет,да,40,БСУ,Б,2012,одноэтажный
58,33357554,да,да,64,СА-3,Б,2006,одноэтажный
59,87844239,да,да,54,БСУ,Б,2016,одноэтажный
60,32775593,нет,да,72,БСУ,Х,2024,двухэтажный
61,51663795,да,да,36,СА-3,Х,2015,одноэтажный
62,19774839,да,нет,64,СА-3,Б,2012,одноэтажный
63,42747037,да,нет,80,СА-3,Б,2007,двухэтажный
64,79519112,да,да,80,СА-3,Б,2025,одноэтажный
65,81287314,нет,да,80,БСУ,Б,2023,одноэтажный
66,67276174,нет,да,40,БСУ,Б,2024,двухэтажный
67,95585469,да,нет,54,СА-3,Х,2002,одноэтажный
68,41473195,да,да,64,СА-3,Х,2007,одноэтажный
69,30509175,нет,да,54,БСУ,Б,2013,двухэтажный
70,66390708,да,нет,72,СА-3,Б,2024,одноэтажный
71,74019136,да,да,80,БСУ,Б,2013,одноэтажный
72,83300637,нет,нет,54,СА-3,Х,2015,двухэтажный
73,55114543,нет,нет,72,СА-3,Б,2004,одноэтажный
74,81688860,да,да,64,СА-3,Х,2013,двухэтажный
75,71968116,да,да,44,СА-3,Б,2010,одноэтажный
76,60885459,да,нет,54,БСУ,Б,2015,двухэтажный
77,82399599,да,нет,40,СА-3,Б,2020,двухэтажный
78,14164775,нет,да,36,СА-3,Х,2015,одноэтажный
79,85694715,нет,да,44,БСУ,Х,2019,одноэтажный
80,25372341,нет,да,44,СА-3,Б,2009,одноэтажный
81,60372847,да,нет,36,СА-3,Х,2024,одноэтажный
82,90585882,нет,нет,64,СА-3,Б,2013,одноэтажный
